cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2;Passivo Total;1353075042.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.01;Passivos Financeiros para Negociação;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.02;Outros Passivos Financeiros ao Valor Justo no Resultado;789887.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.03;Passivos Financeiros ao Custo Amortizado;1164950712.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.03.01;Depósitos de Clientes;426076603.0;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.03.02;Valores a Pagar a Instituições Financeiras;24649124.0;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.03.03;Obrigações por Operações Compromissadas;376242695.0;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.03.04;Obrigações por emissão de títulos e valores mobiliários e outras obrigações;337982290.0;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.04;Provisões;9600351.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.05;Passivos Fiscais;5434568.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.05.01;Passivos por Impostos Correntes;2365251.0;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.05.02;Passivos por Impostos Diferidos;3069317.0;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.06;Outros Passivos;71061096.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-12-31;2.07;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0;S;Financeiro;Estatal
