cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2;Passivo Total;2153878452.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.01;Passivos Financeiros Avaliados ao Valor Justo através do Resultado;2509742.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.02;Passivos Financeiros ao Custo Amortizado;1884405380.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.02.01;Depósitos;811943803.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.02.02;Captações no Mercado Aberto;651190724.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.02.03;Recursos Mercado Interfinanceiro;284156307.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.02.04;Outras Captações;137114546.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.02.04.01;Obrigações por emissão de títulos e valores mobiliários e outras obrigações;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.02.04.02;Outros passivos financeiros;137114546.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.03;Provisões;21787037.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.03.01;Provisões trabalhistas, fiscais e cíveis;18725677.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.03.02;Provisões para perdas esperadas com garantias prestadas e compromissos de empréstimos;3061360.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.04;Passivos Fiscais;17765460.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.05;Outros Passivos;53840507.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.06;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.06.01;Passivos sobre Ativos Não Correntes a Venda;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.06.02;Passivos sobre Ativos de Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07;Patrimônio Líquido Consolidado;173570326.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01;Patrimônio Líquido Atribuído ao Controlador;169235279.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.01;Capital Social Realizado;126100000.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.02;Reservas de Capital;6366103.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.02.01;Ágio na Emissão de Ações;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.02.02;Reserva Especial de Ágio na Incorporação;6634358.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.02.03;Alienação de Bônus de Subscrição;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.02.04;Opções Outorgadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.02.05;Ações em Tesouraria;-268255.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.03;Reservas de Reavaliação;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.04;Reservas de Lucros;61154159.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.04.01;Reserva Legal;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.04.02;Reserva Estatutária;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.04.03;Reserva para Contingências;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.04.04;Reserva de Lucros a Realizar;61154159.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.04.05;Reserva de Retenção de Lucros;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-12-31;2.07.01.04.06;Reserva Especial para Dividendos Não Distribuídos;0.0;S;Financeiro;Estatal
