cnpj;data_referencia;empresa;codigo_cvm;escala;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.01;Receitas da Intermediação Financeira;168039236.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.01.01;Receita de Juros;168039236.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.02;Despesas da Intermediação Financeira;-134531183.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.02.01;Despesas de Juros;-106124895.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.02.02;Despesa com Provisão para Perdas em Empréstimos a Clientes;-28420155.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.02.03;Despesa com Provisão para Perdas em Empréstimos a instituições financeiras;13867.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.03;Resultado Bruto Intermediação Financeira;33508053.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04;Outras Despesas/Receitas Operacionais;-22617626.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.01;Receitas de Prestação de Serviços;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.02;Despesas de Pessoal;-22615509.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.03;Outras Despesas Administrativas;-10685388.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.04;Despesas Tributárias;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.05;Outras Receitas Operacionais;32190947.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.05.01;Receita Líquida de Tarifas e Comissões;20847786.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.05.02;Ganhos/(Perdas) Líquidos sobre Ativos/Passivos Financeiros ao Valor Justo por Meio do Resultado;-1957607.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.05.03;Ganhos/(Perdas) Líquidos sobre Ativos Financeiros Disponíveis para Venda;128063.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.05.04;Ganhos/(Perdas) Líquidos em Coligadas e Joint Ventures;3959882.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.05.05;Outras Receitas;9212823.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.06;Outras Despesas Operacionais;-21507676.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.06.01;Contribuições, taxas e Outros Impostos;-5659758.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.06.02;Amortização de Ativos Intangíveis;-2607135.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.06.03;Provisões;-3011849.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.06.04;Depreciação;-1149168.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.06.05;Outras Despesas;-9079766.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.04.07;Resultado da Equivalência Patrimonial;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.05;Resultado Antes dos Tributos sobre o Lucro;10890427.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-2230850.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.06.01;Corrente;-6635568.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.06.02;Diferido;4404718.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.07;Resultado Líquido das Operações Continuadas;8659577.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.08.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.08.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.09;Lucro/Prejuízo Consolidado do Período;8659577.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.09.01;Atribuído a Sócios da Empresa Controladora;7027281.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.09.02;Atribuído a Sócios Não Controladores;1632296.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.99;Lucro por Ação - (R$ / Ação);0.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.99.01;Lucro Básico por Ação;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.99.01.01;ON;2.52;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-01-01;2016-12-31;3.99.02;Lucro Diluído por Ação;0.0;N;Financeiro;Estatal
