cnpj;data_referencia;empresa;codigo_cvm;escala;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.01;Receitas de Intermediação Financeira;125947217.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.01.01;Receita de Juros;125947217.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.02;Despesas de Intermediação Financeira;-66273138.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.02.01;Despesa de Juros;-66273138.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.03;Resultado Bruto de Intermediação Financeira;59674079.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04;Outras Despesas e Receitas Operacionais;-35684288.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.01;Despesa de Provisão para Perda Esperada para Risco de Crédito;-12863436.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.02;Receitas de Prestação de Serviços;22668819.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.03;Despesas com Pessoal;-23524659.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.04;Outras Despesas de Administrativas;-7535192.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.05;Despesas Tributárias;-5722627.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.06;Outras Receitas Operacionais;8159428.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.06.01;Ganhos líquidos sobre instrumentos financeiros;199415.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.06.02;Resultado líquido em operações de câmbio e em conversão de transações em moedas estrangeiras;-1286536.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.06.03;Outras;9246549.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.07;Outras Despesas Operacionais;-19953365.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.07.01;Amortização de ativos intangíveis;-1420318.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.07.02;Provisões trabalhistas, fiscais e cíveis;-7515682.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.07.03;Depreciação;-2574102.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.07.04;Outras;-8443263.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.04.08;Resultado da Equivalência Patrimonial;3086744.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.05;Resultado antes dos Tributos sobre o Lucro;23989791.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-4266920.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.06.01;Corrente;-3544398.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.06.02;Diferido;-722522.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.07;Lucro ou Prejuízo das Operações Continuadas;19722871.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.09;Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias;19722871.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.10;Participações nos Lucros e Contribuições Estatutárias;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.11;Lucro ou Prejuízo Líquido Consolidado do Período;19722871.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.11.01;Atribuído aos Sócios da Empresa Controladora;18344326.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.11.02;Atribuído aos Sócios não Controladores;1378545.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.99;Lucro por Ação (R$/Ação);0.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.99.01;Lucro Básico por Ação;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.99.01.01;ON;6.43;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.99.02;Lucro Diluído por Ação;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-01-01;2021-12-31;3.99.02.01;ON;6.43;N;Financeiro;Estatal
00.001.180/0001-26;2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2021-01-01;2021-12-31;3.01;Receita de Venda de Bens e/ou Serviços;37616241.0;S;Energia;Estatal
00.001.180/0001-26;2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2021-01-01;2021-12-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-11961049.0;S;Energia;Estatal
00.001.180/0001-26;2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2021-01-01;2021-12-31;3.02.01;Energia comprada para revenda;5932.0;N;Energia;Estatal
