cnpj;data_referencia;empresa;codigo_cvm;escala;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.01;Receitas da Intermediação Financeira;139763614.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.01.01;Receita de Juros;139763614.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.02;Despesas da Intermediação Financeira;-109398266.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.02.01;Despesas de Juros;-86533899.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.02.02;Despesa com Provisão para Perdas em Empréstimos a Clientes;-22864367.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.02.03;Despesa com Provisão para Perdas em Empréstimos a instituições financeiras;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.03;Resultado Bruto Intermediação Financeira;30365348.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04;Outras Despesas/Receitas Operacionais;-14434887.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.01;Receitas de Prestação de Serviços;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.02;Despesas de Pessoal;-20560025.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.03;Outras Despesas Administrativas;-10601093.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.04;Despesas Tributárias;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.05;Outras Receitas Operacionais;33943994.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.05.01;Receita Líquida de Tarifas e Comissões;22071288.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.05.02;Ganhos/(Perdas) Líquidos sobre Ativos/Passivos Financeiros ao Valor Justo por Meio do Resultado;-427696.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.05.03;Ganhos/(Perdas) Líquidos sobre Ativos Financeiros Disponíveis para Venda;471874.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.05.04;Ganhos/(Perdas) Líquidos em Coligadas e Joint Ventures;3750978.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.05.05;Outras Receitas;8077550.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.06;Outras Despesas Operacionais;-17217763.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.06.01;Contribuições, taxas e Outros Impostos;-5482208.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.06.02;Amortização de Ativos Intangíveis;-2416403.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.06.03;Provisões;-2832984.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.06.04;Depreciação;-1162822.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.06.05;Outras Despesas;-5323346.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.04.07;Resultado da Equivalência Patrimonial;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.05;Resultado Antes dos Tributos sobre o Lucro;15930461.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-3655158.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.06.01;Corrente;-3290685.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.06.02;Diferido;-364473.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.07;Resultado Líquido das Operações Continuadas;12275303.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.08.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.08.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.09;Lucro/Prejuízo Consolidado do Período;12275303.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.09.01;Atribuído a Sócios da Empresa Controladora;10628794.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.09.02;Atribuído a Sócios Não Controladores;1646509.0;S;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.99;Lucro por Ação - (R$ / Ação);0.0;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.99.01;Lucro Básico por Ação;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.99.01.01;ON;3.82;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.99.02;Lucro Diluído por Ação;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2017-12-31;BCO BRASIL S.A.;1023;MIL;2017-01-01;2017-12-31;3.99.02.01;ON;3.82;N;Financeiro;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.01;Receita de Venda de Bens e/ou Serviços;37876024.0;S;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-15373638.0;S;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.02.01;Energia comprada para revenda;-11584925.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.02.02;Encargos sobre uso da rede elétrica;-1611398.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.02.03;Combustível para produção de energia elétrica;-424964.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.02.04;Construção;-1752351.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.03;Resultado Bruto;22502386.0;S;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04;Despesas/Receitas Operacionais;-17509488.0;S;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04.01;Despesas com Vendas;0.0;S;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04.02;Despesas Gerais e Administrativas;-20201659.0;S;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04.02.01;Pessoal, Material, Serviço;-10930333.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04.02.02;Resultado a compensar Itaipu;0.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04.02.06;Remuneração e Ressarcimento;0.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04.02.08;Depreciação e amortizaçao-Imobilizado e Intangível;-1751303.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04.02.09;Provisões operacionais;-5746873.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04.02.10;Doações e contribuições;-164372.0;N;Energia;Estatal
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2017-01-01;2017-12-31;3.04.02.11;Plano de readequação do quadro de pessoal;0.0;N;Energia;Estatal
