cnpj;data_referencia;empresa;codigo_cvm;escala;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.01;Receitas de Intermediação Financeira;236549051.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.01.01;Receita de Juros;236549051.0;N;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.02;Despesas de Intermediação Financeira;-162202484.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.02.01;Despesa de Juros;-162202484.0;N;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.03;Resultado Bruto de Intermediação Financeira;74346567.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04;Outras Despesas e Receitas Operacionais;-36044850.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.01;Despesa de Provisão para Perda Esperada para Risco de Crédito;-18038862.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.02;Receitas de Prestação de Serviços;24644715.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.03;Despesas com Pessoal;-25402822.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.04;Outras Despesas de Administrativas;-8170710.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.05;Despesas Tributárias;-6992470.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.06;Outras Receitas Operacionais;13533910.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.06.01;Ganhos líquidos sobre instrumentos financeiros;-1258040.0;N;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.06.02;Resultado líquido em operações de câmbio e em conversão de transações em moedas estrangeiras;1609348.0;N;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.06.03;Outras;13182602.0;N;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.07;Outras Despesas Operacionais;-20729762.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.07.01;Amortização de ativos intangíveis;-1346457.0;N;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.07.02;Provisões trabalhistas, fiscais e cíveis;-7252224.0;N;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.07.03;Depreciação;-2627659.0;N;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.07.04;Outras;-9503422.0;N;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.04.08;Resultado da Equivalência Patrimonial;5111151.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.05;Resultado antes dos Tributos sobre o Lucro;38301717.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-8452382.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.06.01;Corrente;-6788039.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.06.02;Diferido;-1664343.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.07;Lucro ou Prejuízo das Operações Continuadas;29849335.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.09;Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias;29849335.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.10;Participações nos Lucros e Contribuições Estatutárias;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-01-01;2022-12-31;3.11;Lucro ou Prejuízo Líquido Consolidado do Período;29849335.0;S;Financeiro;Estatal
