cnpj;data_referencia;empresa;codigo_cvm;escala;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.01;Receitas da Intermediação Financeira;182368871.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.01.01;Receita de Juros;182368871.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.02;Despesas da Intermediação Financeira;-159904025.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.02.01;Despesas de Juros;-136620920.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.02.02;Despesa com Provisão para Perdas em Empréstimos a Clientes;-23288968.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.02.03;Despesa com Provisão para Perdas em Empréstimos a instituições financeiras;5863.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.03;Resultado Bruto Intermediação Financeira;22464846.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04;Outras Despesas/Receitas Operacionais;-12327342.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.01;Receitas de Prestação de Serviços;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.02;Despesas de Pessoal;-21329593.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.03;Outras Despesas Administrativas;-10380962.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.04;Despesas Tributárias;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.05;Outras Receitas Operacionais;38037526.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.05.01;Receita Líquida de Tarifas e Comissões;18521352.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.05.02;Ganhos/(Perdas) Líquidos sobre Ativos/Passivos Financeiros ao Valor Justo por Meio do Resultado;1808465.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.05.03;Ganhos/(Perdas) Líquidos sobre Ativos Financeiros Disponíveis para Venda;-596247.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.05.04;Ganhos/(Perdas) Líquidos em Coligadas e Joint Ventures;4392986.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.05.05;Outras Receitas;13910970.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.06;Outras Despesas Operacionais;-18654313.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.06.01;Contribuições, taxas e Outros Impostos;-5639919.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.06.02;Amortização de Ativos Intangíveis;-2720550.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.06.03;Provisões;-4153573.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.06.04;Depreciação;-1123904.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.06.05;Outras Despesas;-5016367.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.04.07;Resultado da Equivalência Patrimonial;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.05;Resultado Antes dos Tributos sobre o Lucro;10137504.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;5660535.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.06.01;Corrente;-6145380.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.06.02;Diferido;11805915.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.07;Resultado Líquido das Operações Continuadas;15798039.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.08.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.08.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.09;Lucro/Prejuízo Consolidado do Período;15798039.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.09.01;Atribuído a Sócios da Empresa Controladora;14069582.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.09.02;Atribuído a Sócios Não Controladores;1728457.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.99;Lucro por Ação - (R$ / Ação);0.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.99.01;Lucro Básico por Ação;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.99.01.01;ON;5.03;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.99.02;Lucro Diluído por Ação;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-01-01;2015-12-31;3.99.02.01;ON;5.03;N;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.01;Receitas da Intermediação Financeira;2742848.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.01.01;Receitas de Juros e Similares;2670754.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.01.02;Outros Ganhso/Perdas Líquidos com Empréstimos e Adiantamentos a Clientes;60962.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.01.03;Resultado com Operações de Crédito;7036.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.01.04;Ganho/Perda Líquidos com Ativos Mantidos para Venda;4096.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.02;Despesas da Intermediação Financeira;-1493649.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.02.01;Despesa com Juros e Similares;-1053139.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.02.02;Perdas por Redução ao Valor Recuperável de Empréstimos e Adiantamento a Clientes;-410497.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.02.03;Despesas de Depreciação e Amortização;-30013.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.03;Resultado Bruto Intermediação Financeira;1249199.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.04;Outras Despesas/Receitas Operacionais;-1101170.0;S;Financeiro;Estatal
00.000.208/0001-00;2015-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2015-01-01;2015-12-31;3.04.01;Receitas de Prestação de Serviços;315516.0;S;Financeiro;Estatal
