cnpj;data_referencia;empresa;codigo_cvm;escala;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.01;Receitas de Intermediação Financeira;265438605.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.01.01;Receita de Juros;265438605.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.02;Despesas de Intermediação Financeira;-176689874.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.02.01;Despesa de Juros;-176689874.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.03;Resultado Bruto de Intermediação Financeira;88748731.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04;Outras Despesas e Receitas Operacionais;-47601540.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.01;Despesa de Provisão para Perda Esperada para Risco de Crédito;-25353184.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.02;Receitas de Prestação de Serviços;25000273.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.03;Despesas com Pessoal;-26850181.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.04;Outras Despesas de Administrativas;-8740985.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.05;Despesas Tributárias;-7976044.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.06;Outras Receitas Operacionais;12851106.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.06.01;Ganhos líquidos sobre instrumentos financeiros;-367207.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.06.02;Resultado líquido em operações de câmbio e em conversão de transações em moedas estrangeiras;1572694.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.06.03;Outras;11645619.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.07;Outras Despesas Operacionais;-23626688.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.07.01;Amortização de ativos intangíveis;-2356219.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.07.02;Provisões trabalhistas, fiscais e cíveis;-8376741.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.07.03;Depreciação;-2836148.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.07.04;Outras;-10057580.0;N;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.04.08;Resultado da Equivalência Patrimonial;7094163.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.05;Resultado antes dos Tributos sobre o Lucro;41147191.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-7981600.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.06.01;Corrente;-7210573.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.06.02;Diferido;-771027.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.07;Lucro ou Prejuízo das Operações Continuadas;33165591.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.09;Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias;33165591.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.10;Participações nos Lucros e Contribuições Estatutárias;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.11;Lucro ou Prejuízo Líquido Consolidado do Período;33165591.0;S;Financeiro;Estatal
00.000.000/0001-91;2023-12-31;BCO BRASIL S.A.;1023;MIL;2023-01-01;2023-12-31;3.11.01;Atribuído aos Sócios da Empresa Controladora;29860965.0;S;Financeiro;Estatal
