empresa;setor;tipo;ano;roe;margem_liquida;margem_bruta;margem_ebitda;alavancagem;cobertura_juros;evento_exogeno;descricao_evento
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2014;-0.0533;-0.1002;0.4602;-0.0059;;-0.4337;1;Lei 12.783/2013 - Renovação tarifária
ENERGISA S.A.;Energia;Privado;2014;0.0935;0.0339;0.2315;0.1164;6.9255;0.8538;0;
NEOENERGIA S.A.;Energia;Privado;2014;0.0661;0.0533;0.2477;0.1352;5.085;0.8666;0;
CPFL ENERGIA S.A.;Energia;Privado;2014;0.1011;0.0548;0.2337;0.1502;5.69;1.3131;0;
ENGIE BRASIL ENERGIA S.A.;Energia;Privado;2014;0.2445;0.2136;0.3859;0.3558;1.063;4.1667;0;
EQUATORIAL ENERGIA S.A.;Energia;Privado;2014;0.1851;0.0942;0.251;0.1362;4.4372;0.8291;0;
ALUPAR INVESTIMENTO S/A;Energia;Privado;2014;0.0935;0.2461;0.7654;0.7125;3.465;3.3431;0;
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2014;0.2779;0.1605;0.3448;0.2856;2.2618;3.2949;0;
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2014;0.0881;0.0866;0.1978;0.1229;3.1079;3.1271;0;
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2015;-0.346;-0.4431;0.4786;-0.3284;;-0.6384;1;Lei 12.783/2013 - Renovação tarifária
ENERGISA S.A.;Energia;Privado;2015;0.0979;0.0272;0.1381;0.0724;7.9226;0.4699;0;
NEOENERGIA S.A.;Energia;Privado;2015;0.0332;0.0212;0.2079;0.0995;8.0222;0.2594;0;
CPFL ENERGIA S.A.;Energia;Privado;2015;0.0854;0.0428;0.1949;0.1222;6.5008;0.9597;0;
ENGIE BRASIL ENERGIA S.A.;Energia;Privado;2015;0.2259;0.2304;0.416;0.3845;0.7388;3.3321;0;
EQUATORIAL ENERGIA S.A.;Energia;Privado;2015;0.1912;0.1115;0.2487;0.1119;4.3574;0.8428;0;
ALUPAR INVESTIMENTO S/A;Energia;Privado;2015;0.0514;0.14;0.7724;0.7212;3.7472;2.0976;0;
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2015;0.1901;0.1159;0.2587;0.1924;3.4765;1.8584;0;
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2015;0.0818;0.081;0.1989;0.1296;3.2903;1.7379;0;
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2016;0.0777;0.0564;0.7331;0.3259;2.2544;1.0467;0;
ENERGISA S.A.;Energia;Privado;2016;0.0324;0.0131;0.1547;0.0945;6.096;0.7413;0;
NEOENERGIA S.A.;Energia;Privado;2016;0.0328;0.0204;0.2217;0.1252;6.2344;0.34;0;
CPFL ENERGIA S.A.;Energia;Privado;2016;0.0869;0.0471;0.2253;0.1483;5.603;1.0678;0;
ENGIE BRASIL ENERGIA S.A.;Energia;Privado;2016;0.2339;0.2402;0.4255;0.3759;0.5258;3.217;0;
EQUATORIAL ENERGIA S.A.;Energia;Privado;2016;0.1462;0.0896;0.2702;0.1483;3.3196;1.1887;0;
ALUPAR INVESTIMENTO S/A;Energia;Privado;2016;0.0682;0.2;0.7811;0.799;3.1849;2.4189;0;
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2016;0.0258;0.0178;0.2314;0.0962;7.8577;0.7283;0;
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2016;0.0633;0.0732;0.2189;0.156;3.8428;1.3979;0;
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2017;-0.0413;-0.0466;0.5941;0.1781;6.6054;0.4827;0;
ENERGISA S.A.;Energia;Privado;2017;0.1168;0.041;0.1384;0.0913;6.4014;0.8756;0;
NEOENERGIA S.A.;Energia;Privado;2017;0.026;0.0198;0.1764;0.1036;6.8076;0.5073;0;
CPFL ENERGIA S.A.;Energia;Privado;2017;0.1055;0.0441;0.1869;0.1247;5.0743;1.4081;0;
ENGIE BRASIL ENERGIA S.A.;Energia;Privado;2017;0.2931;0.2858;0.4288;0.4066;1.6933;6.3294;0;
EQUATORIAL ENERGIA S.A.;Energia;Privado;2017;0.1735;0.1099;0.2894;0.1555;1.9838;1.9029;0;
ALUPAR INVESTIMENTO S/A;Energia;Privado;2017;0.059;0.2151;0.7354;0.6961;2.9729;2.5269;0;
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2017;0.0698;0.0461;0.1946;0.1217;5.0588;1.4678;0;
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2017;0.0666;0.0737;0.2395;0.1527;4.105;1.4791;0;
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2018;0.2368;0.531;0.7783;0.736;2.9197;1.8844;0;
ENERGISA S.A.;Energia;Privado;2018;0.1899;0.0727;0.1587;0.1817;5.2276;1.9306;0;
NEOENERGIA S.A.;Energia;Privado;2018;0.0874;0.0592;0.1956;0.126;5.2364;0.4484;0;
CPFL ENERGIA S.A.;Energia;Privado;2018;0.1642;0.0731;0.2058;0.1437;4.5726;2.1675;0;
ENGIE BRASIL ENERGIA S.A.;Energia;Privado;2018;0.3662;0.2632;0.4456;0.417;1.9919;4.2941;0;
EQUATORIAL ENERGIA S.A.;Energia;Privado;2018;0.1401;0.0816;0.2591;0.1847;3.2684;1.2336;0;
ALUPAR INVESTIMENTO S/A;Energia;Privado;2018;0.0618;0.2054;0.674;0.6336;2.8731;3.2734;0;
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2018;0.1067;0.0764;0.2061;0.1121;5.5615;1.1222;0;
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2018;0.0861;0.0942;0.2299;0.1603;4.0171;1.9122;0;
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2019;0.1498;0.3858;0.7555;0.3084;5.3268;0.9667;0;
ENERGISA S.A.;Energia;Privado;2019;0.0705;0.0229;0.1634;0.1177;7.0258;1.0313;0;
NEOENERGIA S.A.;Energia;Privado;2019;0.1157;0.0783;0.224;0.1501;4.3581;0.7923;0;
CPFL ENERGIA S.A.;Energia;Privado;2019;0.2035;0.0903;0.2197;0.1574;3.6015;2.8914;0;
ENGIE BRASIL ENERGIA S.A.;Energia;Privado;2019;0.33;0.2356;0.4234;0.4381;2.5362;3.1717;0;
EQUATORIAL ENERGIA S.A.;Energia;Privado;2019;0.2472;0.1285;0.3048;0.2292;3.4875;1.8031;0;
