empresa;setor;tipo;ano;roe;margem_liquida;nim;indice_eficiencia;alavancagem;pdd_ratio;evento_exogeno;descricao_evento
BCO BRASIL S.A.;Financeiro;Estatal;2014;0.1387;0.086;0.0249;0.4938;13.9595;0.1073;0;
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2014;0.1431;0.0905;0.1072;0.5718;8.2883;0.0;0;
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2014;0.1329;0.0815;0.0447;0.4565;13.2208;0.0;0;
BCO ABC BRASIL S.A.;Financeiro;Privado;2014;0.1437;0.197;0.0096;0.4045;7.6016;0.0448;0;
BCO BTG PACTUAL S.A.;Financeiro;Privado;2014;0.1366;0.1821;0.011;0.6483;9.1782;0.0402;0;
BCO PAN S.A.;Financeiro;Privado;2014;0.0226;0.012;0.0842;0.6811;6.0205;0.1319;0;
BCO BRADESCO S.A.;Financeiro;Privado;2014;0.1861;0.1536;0.0493;0.3916;10.3067;0.1032;0;
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2014;0.2142;0.167;0.0497;0.4642;10.2029;0.1459;0;
BCO SANTANDER (BRASIL) S.A.;Financeiro;Privado;2014;0.0716;0.0955;0.0523;0.3988;5.6117;0.2144;0;
BCO BRASIL S.A.;Financeiro;Estatal;2015;0.1632;0.0771;0.0162;0.5241;15.1065;0.1277;0;
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2015;0.0893;0.0487;0.0909;0.6929;8.1954;0.1606;0;
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2015;0.1327;0.0699;0.0423;0.4805;14.607;0.0;0;
BCO ABC BRASIL S.A.;Financeiro;Privado;2015;0.1475;0.1734;0.0391;0.4208;8.0126;0.0976;0;
BCO BTG PACTUAL S.A.;Financeiro;Privado;2015;0.0364;0.0631;-0.0148;2.4863;11.0024;0.0502;0;
BCO PAN S.A.;Financeiro;Privado;2015;0.038;0.02;0.1012;0.6019;5.9207;0.1267;0;
BCO BRADESCO S.A.;Financeiro;Privado;2015;0.1994;0.1582;0.0421;0.4177;10.293;0.1285;0;
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2015;0.2257;0.1987;0.0427;0.5176;10.1908;0.1892;0;
BCO SANTANDER (BRASIL) S.A.;Financeiro;Privado;2015;0.1225;0.14;0.0518;0.4604;6.583;0.2165;0;
BCO BRASIL S.A.;Financeiro;Estatal;2016;0.078;0.0418;0.0242;0.5069;14.4004;0.169;0;
