ano;setor;empresa;kpi;valor;media_privados;desvio_padrao;zscore;sinal;evento_exogeno;descricao_evento
2016;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;8.67;7.56;1.8;0.62;Abaixo da média;0;
2016;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.17;0.12;0.05;1.06;Alerta;0;
2016;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.12;0.13;0.11;-0.17;Na média;0;
2016;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.05;0.15;0.13;-0.75;Abaixo da média;0;
2016;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.03;0.07;0.05;-0.79;Abaixo da média;0;
2016;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;indice_eficiencia;0.52;0.39;0.15;0.84;Abaixo da média;0;
2016;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;alavancagem;19.36;7.56;1.8;6.56;Alerta;0;
2016;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;pdd_ratio;0.0;0.12;0.05;-2.67;Acima da média;0;
2017;Financeiro;BCO BRASIL S.A.;roe;0.1;0.12;0.03;-0.45;Na média;0;
2017;Financeiro;BCO BRASIL S.A.;margem_liquida;0.08;0.15;0.08;-0.94;Abaixo da média;0;
2017;Financeiro;BCO BRASIL S.A.;nim;0.02;0.06;0.06;-0.71;Abaixo da média;0;
2017;Financeiro;BCO BRASIL S.A.;indice_eficiencia;0.48;0.46;0.13;0.15;Na média;0;
2017;Financeiro;BCO BRASIL S.A.;alavancagem;12.37;7.08;1.65;3.2;Alerta;0;
2017;Financeiro;BCO BRASIL S.A.;pdd_ratio;0.16;0.12;0.06;0.73;Abaixo da média;0;
2017;Financeiro;BRB BANCO DE BRASILIA S.A.;roe;0.14;0.12;0.03;0.46;Na média;0;
2017;Financeiro;BRB BANCO DE BRASILIA S.A.;margem_liquida;0.07;0.15;0.08;-0.98;Abaixo da média;0;
2017;Financeiro;BRB BANCO DE BRASILIA S.A.;nim;0.11;0.06;0.06;0.81;Acima da média;0;
2017;Financeiro;BRB BANCO DE BRASILIA S.A.;indice_eficiencia;0.65;0.46;0.13;1.42;Alerta;0;
2017;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;8.66;7.08;1.65;0.96;Abaixo da média;0;
2017;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.12;0.12;0.06;0.08;Na média;0;
2017;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.12;0.12;0.03;-0.0;Na média;0;
2017;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.06;0.15;0.08;-1.1;Alerta;0;
2017;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.04;0.06;0.06;-0.48;Na média;0;
2017;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;indice_eficiencia;0.52;0.46;0.13;0.45;Na média;0;
2017;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;alavancagem;15.47;7.08;1.65;5.08;Alerta;0;
2017;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;pdd_ratio;0.0;0.12;0.06;-1.93;Acima da média;0;
2018;Financeiro;BCO BRASIL S.A.;roe;0.13;0.12;0.04;0.3;Na média;0;
2018;Financeiro;BCO BRASIL S.A.;margem_liquida;0.11;0.17;0.08;-0.63;Abaixo da média;0;
