ano;setor;empresa;kpi;valor;media_privados;desvio_padrao;zscore;sinal;evento_exogeno;descricao_evento
2019;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;cobertura_juros;2.0564;0.8383;1.4709;0.8281;Acima da média;0;
2020;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;roe;0.0228;-0.0339;0.1663;0.3406;Na média;0;
2020;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_liquida;0.0261;-0.251;0.6936;0.3995;Na média;0;
2020;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_bruta;0.4556;0.3698;0.0746;1.1502;Acima da média;0;
2020;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_ebitda;0.4152;0.7872;0.1668;-2.2306;Alerta;0;
2020;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;alavancagem;2.9361;1.22;0.5225;3.2845;Alerta;0;
2020;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;cobertura_juros;0.9469;0.3869;0.8824;0.6347;Acima da média;0;
2021;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;roe;0.2738;0.1606;0.149;0.7598;Acima da média;0;
2021;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_liquida;0.2356;0.3181;0.3448;-0.2392;Na média;0;
2021;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_bruta;0.4852;0.4576;0.1259;0.2195;Na média;0;
2021;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_ebitda;0.6199;0.8863;0.4973;-0.5357;Abaixo da média;0;
2021;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;alavancagem;0.9601;0.4539;0.6091;0.8311;Abaixo da média;0;
2021;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;cobertura_juros;3.309;5.5571;8.6077;-0.2612;Na média;0;
2022;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;roe;0.5168;0.1942;0.1534;2.1024;Acima da média;0;
2022;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_liquida;0.2937;0.2973;0.2044;-0.0176;Na média;0;
2022;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_bruta;0.521;0.5404;0.0867;-0.2235;Na média;0;
2022;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_ebitda;0.576;0.5243;0.1774;0.2913;Na média;0;
2022;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;alavancagem;0.647;0.4579;0.5864;0.3225;Na média;0;
2022;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;cobertura_juros;10.261;5.9536;4.4153;0.9756;Acima da média;0;
2023;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;roe;0.3259;0.1507;0.1616;1.0841;Acima da média;0;
2023;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_liquida;0.2434;0.1898;0.1949;0.2752;Na média;0;
2023;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_bruta;0.5272;0.3697;0.19;0.8293;Acima da média;0;
2023;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;margem_ebitda;0.5183;0.5134;0.1857;0.0263;Na média;0;
2023;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;alavancagem;0.9099;1.9916;1.6249;-0.6657;Acima da média;0;
2023;Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;cobertura_juros;8.3477;2.1807;2.1496;2.8689;Acima da média;0;
