cnpj;data_referencia;empresa;codigo_cvm;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa
02.474.103/0001-19;2016-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2016-01-01;2016-12-31;7.04.01;Depreciação, Amortização e Exaustão;-630246.0;S
02.429.144/0001-93;2016-12-31;CPFL ENERGIA S.A.;018660;2016-01-01;2016-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1038814.0;S
76.483.817/0001-20;2016-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2016-01-01;2016-12-31;7.04.01;Depreciação, Amortização e Exaustão;-708296.0;S
00.864.214/0001-06;2016-12-31;ENERGISA S.A.;015253;2016-01-01;2016-12-31;7.04.01;Depreciação, Amortização e Exaustão;-703644.0;S
00.001.180/0001-26;2016-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2016-01-01;2016-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1843785.0;S
01.083.200/0001-18;2017-12-31;NEOENERGIA S.A.;015539;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-989289.0;S
33.000.167/0001-01;2017-12-31;PETROLEO BRASILEIRO S.A. PETROBRAS;009512;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-42478000.0;S
10.629.105/0001-68;2017-12-31;PRIO S.A.;022187;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-89455.0;S
76.483.817/0001-20;2017-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-731599.0;S
08.364.948/0001-38;2017-12-31;ALUPAR INVESTIMENTO S/A;021490;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-99458.0;S
11.669.021/0001-10;2017-12-31;ENAUTA PARTICIPAÇÕES S.A.;022365;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-65641.0;S
17.155.730/0001-64;2017-12-31;CIA ENERGETICA DE MINAS GERAIS - CEMIG;002453;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-849768.0;S
03.220.438/0001-73;2017-12-31;EQUATORIAL ENERGIA S.A.;020010;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-380732.0;S
02.474.103/0001-19;2017-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-648947.0;S
02.429.144/0001-93;2017-12-31;CPFL ENERGIA S.A.;018660;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1247819.0;S
00.864.214/0001-06;2017-12-31;ENERGISA S.A.;015253;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-807675.0;S
00.001.180/0001-26;2017-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2017-01-01;2017-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1751303.0;S
03.220.438/0001-73;2018-12-31;EQUATORIAL ENERGIA S.A.;020010;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-436167.0;S
00.864.214/0001-06;2018-12-31;ENERGISA S.A.;015253;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-949710.0;S
01.083.200/0001-18;2018-12-31;NEOENERGIA S.A.;015539;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1305125.0;S
08.364.948/0001-38;2018-12-31;ALUPAR INVESTIMENTO S/A;021490;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-101752.0;S
10.629.105/0001-68;2018-12-31;PRIO S.A.;022187;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-76782.0;S
11.669.021/0001-10;2018-12-31;ENAUTA PARTICIPAÇÕES S.A.;022365;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-140094.0;S
17.155.730/0001-64;2018-12-31;CIA ENERGETICA DE MINAS GERAIS - CEMIG;002453;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-834593.0;S
33.000.167/0001-01;2018-12-31;PETROLEO BRASILEIRO S.A. PETROBRAS;009512;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-43646000.0;S
02.474.103/0001-19;2018-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-660172.0;S
02.429.144/0001-93;2018-12-31;CPFL ENERGIA S.A.;018660;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1315323.0;S
76.483.817/0001-20;2018-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-749179.0;S
00.001.180/0001-26;2018-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2018-01-01;2018-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1852721.0;S
10.629.105/0001-68;2019-12-31;PRIO S.A.;022187;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-508958.0;S
00.864.214/0001-06;2019-12-31;ENERGISA S.A.;015253;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1157868.0;S
02.474.103/0001-19;2019-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-863343.0;S
76.483.817/0001-20;2019-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1093836.0;S
03.220.438/0001-73;2019-12-31;EQUATORIAL ENERGIA S.A.;020010;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-630384.0;S
17.155.730/0001-64;2019-12-31;CIA ENERGETICA DE MINAS GERAIS - CEMIG;002453;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-958234.0;S
00.001.180/0001-26;2019-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1807429.0;S
01.083.200/0001-18;2019-12-31;NEOENERGIA S.A.;015539;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1469342.0;S
02.429.144/0001-93;2019-12-31;CPFL ENERGIA S.A.;018660;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1399371.0;S
08.364.948/0001-38;2019-12-31;ALUPAR INVESTIMENTO S/A;021490;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-112974.0;S
11.669.021/0001-10;2019-12-31;ENAUTA PARTICIPAÇÕES S.A.;022365;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-433157.0;S
12.091.809/0001-55;2019-12-31;BRAVA ENERGIA S.A.;025291;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-7233.0;S
33.000.167/0001-01;2019-12-31;PETROLEO BRASILEIRO S.A. PETROBRAS;009512;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-63218000.0;S
76.483.817/0001-20;2020-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1009913.0;S
02.429.144/0001-93;2020-12-31;CPFL ENERGIA S.A.;018660;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1386521.0;S
02.474.103/0001-19;2020-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-914975.0;S
33.000.167/0001-01;2020-12-31;PETROLEO BRASILEIRO S.A. PETROBRAS;009512;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-63349000.0;S
17.155.730/0001-64;2020-12-31;CIA ENERGETICA DE MINAS GERAIS - CEMIG;002453;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-989053.0;S
00.864.214/0001-06;2020-12-31;ENERGISA S.A.;015253;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1228702.0;S
11.669.021/0001-10;2020-12-31;ENAUTA PARTICIPAÇÕES S.A.;022365;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-467007.0;S
08.364.948/0001-38;2020-12-31;ALUPAR INVESTIMENTO S/A;021490;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-135872.0;S
10.629.105/0001-68;2020-12-31;PRIO S.A.;022187;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-820586.0;S
12.091.809/0001-55;2020-12-31;BRAVA ENERGIA S.A.;025291;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-39633.0;S
03.342.704/0001-30;2020-12-31;PETRORECÔNCAVO S.A.;025780;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-242585.0;S
03.220.438/0001-73;2020-12-31;EQUATORIAL ENERGIA S.A.;020010;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-713154.0;S
01.083.200/0001-18;2020-12-31;NEOENERGIA S.A.;015539;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1640000.0;S
00.001.180/0001-26;2020-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1862869.0;S
00.864.214/0001-06;2021-12-31;ENERGISA S.A.;015253;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1242986.0;S
03.342.704/0001-30;2021-12-31;PETRORECÔNCAVO S.A.;025780;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-250200.0;S
03.220.438/0001-73;2021-12-31;EQUATORIAL ENERGIA S.A.;020010;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-783517.0;S
11.669.021/0001-10;2021-12-31;ENAUTA PARTICIPAÇÕES S.A.;022365;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-807987.0;S
08.364.948/0001-38;2021-12-31;ALUPAR INVESTIMENTO S/A;021490;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-140517.0;S
10.629.105/0001-68;2021-12-31;PRIO S.A.;022187;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-871087.0;S
12.091.809/0001-55;2021-12-31;BRAVA ENERGIA S.A.;025291;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-117368.0;S
17.155.730/0001-64;2021-12-31;CIA ENERGETICA DE MINAS GERAIS - CEMIG;002453;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1049108.0;S
33.000.167/0001-01;2021-12-31;PETROLEO BRASILEIRO S.A. PETROBRAS;009512;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-69769000.0;S
02.474.103/0001-19;2021-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1042417.0;S
