cnpj;data_referencia;empresa;codigo_cvm;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa
10.629.105/0001-68;2019-12-31;PRIO S.A.;022187;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-508958.0;S
00.864.214/0001-06;2019-12-31;ENERGISA S.A.;015253;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1157868.0;S
02.474.103/0001-19;2019-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-863343.0;S
76.483.817/0001-20;2019-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1093836.0;S
03.220.438/0001-73;2019-12-31;EQUATORIAL ENERGIA S.A.;020010;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-630384.0;S
17.155.730/0001-64;2019-12-31;CIA ENERGETICA DE MINAS GERAIS - CEMIG;002453;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-958234.0;S
00.001.180/0001-26;2019-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1807429.0;S
01.083.200/0001-18;2019-12-31;NEOENERGIA S.A.;015539;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1469342.0;S
02.429.144/0001-93;2019-12-31;CPFL ENERGIA S.A.;018660;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1399371.0;S
08.364.948/0001-38;2019-12-31;ALUPAR INVESTIMENTO S/A;021490;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-112974.0;S
11.669.021/0001-10;2019-12-31;ENAUTA PARTICIPAÇÕES S.A.;022365;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-433157.0;S
12.091.809/0001-55;2019-12-31;BRAVA ENERGIA S.A.;025291;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-7233.0;S
33.000.167/0001-01;2019-12-31;PETROLEO BRASILEIRO S.A. PETROBRAS;009512;2019-01-01;2019-12-31;7.04.01;Depreciação, Amortização e Exaustão;-63218000.0;S
