cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1;Ativo Total;2007727977.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.01;Caixa e Equivalentes de Caixa;68826279.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.01.01;Caixa;18310546.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.01.02;Aplicações de Liquidez;50515733.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02;Ativos Financeiros;1779357053.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.01;Depósito Compulsório Banco Central;95119085.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;12078012.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.02.01;Títulos e Valores Mobiliários;10439943.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.02.02;Derivativos;1638069.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;369770754.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.03.01;Títulos e Valores Mobiliários;369770754.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.04;Ativos Financeiros ao Custo Amortizado;1302389202.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;16199785.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.04.02;Aplicações no Mercado Aberto;356512910.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.04.03;Títulos e Valores Mobiliários;47996424.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.04.04;Operações de Crédito;832938557.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.04.05;Provisão para Perdas Esperadas Associadas ao Risco de Crédito;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.04.06;Operações de Arrendamento;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.04.07;Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.02.04.08;Outros Ativos Financeiros;48741526.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.03;Tributos;67241980.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.03.01;Imposto de Renda e Contribuição Social - Correntes;9914030.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.03.02;Imposto de Renda e Contribuição Social - Diferidos;57327950.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.03.03;Outros;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.04;Outros Ativos;48298120.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.04.01;Ativos Não Correntes a Venda;203473.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.04.02;Ativos de Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.04.03;Outros;48094647.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.05;Investimentos;19773432.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.05.01;Participações em Coligadas;19773432.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.05.02;Participações em Controladas em Conjunto;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.05.03;Propriedades para Investimento;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.05.04;Outros Investimentos;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.06;Imobilizado;13200128.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.06.01;Imobilizado de Uso;9194568.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.06.02;Direito de Uso de Arrendamento;4005560.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.06.03;Depreciação Acumulada;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.07;Intangível;11030985.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.07.01;Intangíveis;11030985.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.07.02;Goodwill;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2022-12-31;BCO BRASIL S.A.;1023;MIL;2022-12-31;1.07.03;Amortização Acumulada;0.0;S;Financeiro;Estatal
00.001.180/0001-26;2022-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2022-12-31;1;Ativo Total;270217462.0;S;Energia;Estatal
00.001.180/0001-26;2022-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2022-12-31;1.01;Ativo Circulante;49623127.0;S;Energia;Estatal
00.001.180/0001-26;2022-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2022-12-31;1.01.01;Caixa e Equivalentes de Caixa;13837527.0;S;Energia;Estatal
00.001.180/0001-26;2022-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2022-12-31;1.01.01.01;Caixa;10739126.0;N;Energia;Estatal
00.001.180/0001-26;2022-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2022-12-31;1.01.01.02;Caixa Restrito;3098401.0;N;Energia;Estatal
00.001.180/0001-26;2022-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2022-12-31;1.01.02;Aplicações Financeiras;12193654.0;S;Energia;Estatal
