cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1;Ativo Total;1388864529.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.01;Caixa e Equivalentes de Caixa;102700113.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.01.01;Caixa e Depósitos Bancários;18046717.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.01.02;Depósitos Interfinanceiros;46457253.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.01.03;Aplicações em Operações Compromissadas;38196143.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.01.04;Aplicações em Moeda Estrangeira;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.02;Aplicações Financeiras;117503713.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.02.01;Aplicações Financeiras Avaliadas a Valor Justo;113611973.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.02.01.01;Títulos para Negociação;11218150.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.02.01.02;Títulos Disponíveis para Venda;102393823.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.02.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;3891740.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.02.02.01;Títulos Mantidos até o Vencimento;3891740.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.03;Empréstimos e Recebíveis;1019903303.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.03.01;Empréstimos a Instituições Financeiras Líquidos de Provisão;20011165.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.03.02;Aplicações em Operações Compromissadas;265334673.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.03.03;Empréstimos a Clientes Líquidos de Provisão;673746547.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.03.04;Depósitos Compulsórios em Bancos Centrais;60810918.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.04;Tributos Diferidos;37887919.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.04.01;Imposto de Renda e Contribuição Social Diferidos;37887919.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.05;Outros Ativos;76657528.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.05.01;Ativos Não Correntes a Venda;45968.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.05.02;Ativos de Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.05.03;Outros;76611560.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.05.03.01;Ativos por Impostos Correntes;7462855.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.05.03.02;Outros Ativos;69148705.0;N;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.06;Investimentos;17986425.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.06.01;Participações em Coligadas;17986425.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.06.02;Outros;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.07;Imobilizado;7411947.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.07.01;Imobilizado de Uso;7411947.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.07.02;Imobilizado de Arrendamento;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.08;Intangível;8813581.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.08.01;Intangíveis;8165075.0;S;Financeiro;Estatal
00.000.000/0001-91;2015-12-31;BCO BRASIL S.A.;1023;MIL;2015-12-31;1.08.02;Goodwill;648506.0;S;Financeiro;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1;Ativo Total;149645408.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01;Ativo Circulante;29437396.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.01;Caixa e Equivalentes de Caixa;2041406.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.01.01;Caixa;1393973.0;N;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.01.02;Caixa restrito;647433.0;N;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.02;Aplicações Financeiras;6842774.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo;0.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.02.01.01;Títulos para Negociação;0.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.02.01.02;Títulos Disponíveis para Venda;0.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.02.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;6842774.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.02.02.01;Títulos Mantidos até o Vencimento;6842774.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.03;Contas a Receber;4137501.0;S;Energia;Estatal
00.001.180/0001-26;2015-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;MIL;2015-12-31;1.01.03.01;Clientes;4137501.0;S;Energia;Estatal
