cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1;Ativo Total;1452266807.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.01;Caixa e Equivalentes de Caixa;71936023.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.01.01;Caixa e Depósitos Bancários;14171188.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.01.02;Depósitos Interfinanceiros;28247932.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.01.03;Aplicações em Operações Compromissadas;29516903.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.01.04;Aplicações em Moeda Estrangeira;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.02;Ativos Financeiros;1216714551.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.02.01;Ativos Financeiros Avaliados a Valor Justo através do Resultado;3805548.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.02.01.01;Títulos para Negociação;3805548.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.02.01.02;Títulos Designados a Valor Justo;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.02.02;Ativos Financeiros Avaliados a Valor Justo através de Outros Resultados Abrangentes;172278448.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.02.02.01;Títulos e valores mobiliários;172278448.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.02.03;Ativos Financeiros Avaliados ao Custo Amortizado;1040630555.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;1.02.03.01;Títulos e valores mobiliários líquidos;25422830.0;N;Financeiro;Estatal
