cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1;Ativo Total;1387215686.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.01;Caixa e Equivalentes de Caixa;103127771.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.01.01;Caixa e Depósitos Bancários;12798204.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.01.02;Depósitos Interfinanceiros;32037173.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.01.03;Aplicações em Operações Compromissadas;58281504.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.01.04;Aplicações em Moeda Estrangeira;10890.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.02;Aplicações Financeiras;121459334.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.02.01;Aplicações Financeiras Avaliadas a Valor Justo;112339073.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.02.01.01;Títulos para Negociação;7669398.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.02.01.02;Títulos Disponíveis para Venda;104669675.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.02.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;9120261.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.02.02.01;Títulos Mantidos até o Vencimento;9120261.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.03;Empréstimos e Recebíveis;997779955.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.03.01;Empréstimos a Instituições Financeiras Líquidos de Provisão;17070945.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.03.02;Aplicações em Operações Compromissadas;313401181.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.03.03;Empréstimos a Clientes Líquidos de Provisão;603856735.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.03.04;Depósitos Compulsórios em Bancos Centrais;63451094.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.04;Tributos Diferidos;42173087.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.04.01;Imposto de Renda e Contribuição Social Diferidos;42173087.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.05;Outros Ativos;86675882.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.05.01;Ativos Não Correntes a Venda;44531.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.05.02;Ativos de Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.05.03;Outros;86631351.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.05.03.01;Ativos por Impostos Correntes;12289713.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.05.03.02;Outros Ativos;74341638.0;N;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.06;Investimentos;19641884.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.06.01;Participações em Coligadas;19641884.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.06.02;Outros;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.07;Imobilizado;7614059.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.07.01;Imobilizado de Uso;7614059.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.07.02;Imobilizado de Arrendamento;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.08;Intangível;8743714.0;S;Financeiro;Estatal
00.000.000/0001-91;2016-12-31;BCO BRASIL S.A.;1023;MIL;2016-12-31;1.08.01;Intangíveis;8152132.0;S;Financeiro;Estatal
