cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1;Ativo Total;1396507474.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.01;Caixa e Equivalentes de Caixa;60322132.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.01.01;Caixa e Depósitos Bancários;13601194.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.01.02;Depósitos Interfinanceiros;24543232.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.01.03;Aplicações em Operações Compromissadas;22177706.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.01.04;Aplicações em Moeda Estrangeira;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02;Ativos Financeiros;1186111804.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.01;Ativos Financeiros Avaliados a Valor Justo através do Resultado;6877619.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.01.01;Títulos para Negociação;6877619.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.01.02;Títulos Designados a Valor Justo;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.02;Ativos Financeiros Avaliados a Valor Justo através de Outros Resultados Abrangentes;119753019.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.02.01;Títulos e valores mobiliários;119753019.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.03;Ativos Financeiros Avaliados ao Custo Amortizado;1059481166.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.03.01;Títulos e valores mobiliários líquidos;24180318.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.03.02;Empréstimos a Instituições financeiras líquidos;9828487.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.03.03;Aplicações em operações compromissadas líquidas;364696494.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.03.04;Empréstimos a clientes líquidos;601660512.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.02.03.05;Depósitos compulsórios em Bancos Centrais;59115355.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.03;Tributos Diferidos;38274117.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.03.01;Imposto de Renda e Contribuição Social Diferidos;38274117.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.04;Outros Ativos;79591800.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.04.01;Ativos Não Correntes a Venda;176821.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.04.02;Ativos de Operações Descontinuadas;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.04.03;Outros;71169197.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.04.04;Ativos por impostos correntes;8245782.0;N;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.05;Investimentos;18727463.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.05.01;Participações em Coligadas;18727463.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.05.02;Participações em Controladas em Conjunto;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.05.03;Propriedades para Investimento;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.05.04;Outros Investimentos;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.06;Imobilizado;7685094.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.06.01;Imobilizado de Uso;7685094.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.06.02;Direito de Uso em Arrendamento;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.07;Intangível;5795064.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.07.01;Intangíveis;5795064.0;S;Financeiro;Estatal
00.000.000/0001-91;2018-12-31;BCO BRASIL S.A.;1023;MIL;2018-12-31;1.07.02;Goodwill;0.0;S;Financeiro;Estatal
00.000.208/0001-00;2018-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2018-12-31;1;Ativo Total;15308862.0;S;Financeiro;Estatal
00.000.208/0001-00;2018-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2018-12-31;1.01;Caixa e Equivalentes de Caixa;894017.0;S;Financeiro;Estatal
00.000.208/0001-00;2018-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2018-12-31;1.02;Ativos Financeiros;11978999.0;S;Financeiro;Estatal
00.000.208/0001-00;2018-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2018-12-31;1.02.01;Ativos Financeiros Avaliados a Valor Justo através do Resultado;102666.0;S;Financeiro;Estatal
00.000.208/0001-00;2018-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2018-12-31;1.02.01.01;Títulos para Negociação;0.0;S;Financeiro;Estatal
00.000.208/0001-00;2018-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2018-12-31;1.02.01.02;Títulos Designados a Valor Justo;0.0;S;Financeiro;Estatal
00.000.208/0001-00;2018-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2018-12-31;1.02.01.03;Títulos Disponíveis para Venda;0.0;N;Financeiro;Estatal
00.000.208/0001-00;2018-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2018-12-31;1.02.01.04;Títulos Mantidos até o Vencimento;102666.0;N;Financeiro;Estatal
00.000.208/0001-00;2018-12-31;BRB BANCO DE BRASILIA S.A.;14206;MIL;2018-12-31;1.02.02;Ativos Financeiros Avaliados a Valor Justo através de Outros Resultados Abrangentes;0.0;S;Financeiro;Estatal
